15, 10: 18.1356631333055
15, 11: 16.911317456923424
15, 12: 16.815539253228344
15, 13: 16.95431379075162
15, 14: 16.277225096228065
15, 15: 16.534745539780705
15, 16: 17.454729603156448
15, 17: 16.950972641706468
15, 18: 18.472851778203623
15, 19: 14.952269942746497
16, 0: 0.0
16, 1: 0.0
16, 2: 34.69818755482862
16, 3: 24.005895315645322
16, 4: 25.107458367411162
16, 5: 22.29215054175933
16, 6: 17.77341314846184
16, 7: 19.733233935618774
16, 8: 19.16652248636121
16, 9: 17.012483577725945
16, 10: 17.693668827435467
16, 11: 16.594143338105642
16, 12: 18.00702533156844
16, 13: 17.556282607917673
16, 14: 16.595005598855206
16, 15: 17.31966770642437
16, 16: 16.0951550418837
16, 17: 17.002472305772827
16, 18: 17.171355145564302
16, 19: 14.958754715723916
17, 0: 0.0
17, 1: 88.1503914991444
17, 2: 37.059152611788306
17, 3: 25.053295801415807
17, 4: 23.68353154722601
17, 5: 22.4415732225019
17, 6: 21.71537991167861
17, 7: 20.35598852265626
17, 8: 17.65587951512076
17, 9: 17.06364649387775
17, 10: 19.52825235306751
17, 11: 16.944470942253247
17, 12: 17.115778970823158
17, 13: 18.090239334022627
17, 14: 16.496001514471136
17, 15: 16.28369536785409
17, 16: 15.175658431504853
17, 17: 17.573322725417093
17, 18: 15.445062997937203
17, 19: 15.44428626046516
18, 0: 0.0
18, 1: 0.0
18, 2: 31.47598278151083
18, 3: 25.667431789864203
18, 4: 24.742536720444914
18, 5: 19.879499975873625
18, 6: 18.703649809886702
18, 7: 19.21980972555233
18, 8: 16.8092158757546
18, 9: 16.554180507075507
18, 10: 17.06191014364129
18, 11: 17.485807020775972
18, 12: 16.723435976940674
18, 13: 14.938440066268667
18, 14: 18.279186736959964
18, 15: 15.996918835779653
18, 16: 14.437043458255939
18, 17: 16.830325624444523
18, 18: 15.312842374611646
18, 19: 16.030676527246833
19, 0: 0.0
19, 1: 0.0
19, 2: 33.669881081562636
19, 3: 25.007062154092708
19, 4: 23.288709170119255
19, 5: 21.054688227308215
19, 6: 19.626655448335224
19, 7: 19.740967259383762
19, 8: 16.321948079748545
19, 9: 14.510727900608908
19, 10: 17.48356054991018
19, 11: 15.171921093885322
19, 12: 18.563683440131136
19, 13: 16.215001218752004
19, 14: 16.070017037843353
19, 15: 14.72461746521294
19, 16: 15.180823730733245
19, 17: 14.214489959799685
19, 18: 16.487289325306193
19, 19: 15.41032485730946
